id,nome,cpf,email,telefone,data_nascimento
21,N***** Macedo,724.***.***-**,y*****@example.net,9863,1970-11-19
119,L**** Sales,842.***.***-**,d**********@example.net,9388,1970-02-27
138,S**** Lopes,428.***.***-**,a************@example.org,0392,1970-10-14
156,S** Cunha,648.***.***-**,j***********@example.org,1569,1970-01-13
172,N****** Neves,243.***.***-**,p******@example.com,3759,1970-07-14
229,R*** Cirino,964.***.***-**,c************@example.com,3900,1970-07-07
348,I******* Aragão,251.***.***-**,e********@example.net,0768,1970-09-20
349,M**** Fogaça,513.***.***-**,d***********@example.org,4095,1970-09-22
438,M**** Correia,951.***.***-**,l****@example.com,5777,1970-07-24
496,J**** Rocha,816.***.***-**,t*****@example.org,7083,1970-01-07
500,A** Neves,240.***.***-**,m***********@example.org,6636,1970-11-09
589,N***** Aragão,637.***.***-**,j***********@example.net,7095,1970-02-02
592,S** Montenegro,723.***.***-**,d********@example.net,3674,1970-04-04
606,I****** Sá,865.***.***-**,c*******@example.net,7558,1970-09-12
669,H****** Fonseca,174.***.***-**,i*************@example.net,3377,1970-12-08
718,M****** Gonçalves,014.***.***-**,b*************@example.com,0978,1970-09-19
772,L**** Santos,672.***.***-**,m*************@example.org,6754,1970-05-30
800,E*** Gonçalves,821.***.***-**,m************@example.org,3221,1970-08-09
832,S******* Pacheco,635.***.***-**,m**************@example.com,3333,1970-01-08
860,T***** Pereira,536.***.***-**,c***********@example.org,9861,1970-04-12
864,O***** Cavalcanti,179.***.***-**,i*****@example.net,6018,1970-06-09
900,B**** Machado,089.***.***-**,i*********@example.net,9926,1970-04-18
975,E***** Marques,705.***.***-**,c**************@example.com,4551,1970-07-07
1005,D*** Grande,469.***.***-**,s**************@example.net,8593,1970-03-16
1022,D*** Carvalho,349.***.***-**,r******************@example.org,2045,1970-12-30
1096,D*** Macedo,381.***.***-**,m******@example.net,6668,1970-12-11
1168,A******** Cavalcanti,786.***.***-**,m**************@example.net,6337,1970-02-18
1209,J**** Fonseca,357.***.***-**,c*******@example.net,0418,1970-03-26
1221,I**** Rosa,310.***.***-**,n*******@example.org,5849,1970-10-15
1404,D*** Correia,456.***.***-**,n*****@example.net,9829,1970-10-18
1448,B****** Aparecida,718.***.***-**,m*********@example.org,7500,1970-11-21
1469,D*** Fogaça,671.***.***-**,m****************@example.com,9234,1970-09-02
1670,D** Nogueira,905.***.***-**,g**********@example.com,2145,1970-08-18
1682,O*** Novaes,290.***.***-**,v*************@example.com,5098,1970-03-08
1699,S*** Rocha,672.***.***-**,a**********@example.org,5598,1970-01-27
1784,M***** Luz,071.***.***-**,c*************@example.org,5848,1970-06-06
1787,M**** Duarte,825.***.***-**,l**************@example.net,7740,1970-11-10
1802,J*** Costa,091.***.***-**,h********@example.org,1887,1970-07-16
1877,D*** Lopes,512.***.***-**,n**************@example.net,2222,1970-08-20
1986,A*** Cassiano,462.***.***-**,n*************@example.net,5090,1970-07-30
2122,M***** Pacheco,789.***.***-**,a*******@example.com,8409,1970-07-04
2247,S** Machado,902.***.***-**,n*********@example.org,3716,1970-08-08
2249,L****** Peixoto,214.***.***-**,d************@example.com,2545,1970-11-17
2267,S**** Rezende,310.***.***-**,d************@example.com,6928,1970-10-31
2355,S** Conceição,247.***.***-**,c************@example.org,5642,1970-10-01
2375,A***** Neves,862.***.***-**,m****************@example.com,7303,1970-10-11
2513,H**** Marques,136.***.***-**,n*********@example.com,4531,1970-10-15
2596,N***** Cruz,857.***.***-**,m*************@example.com,4826,1970-08-17
2605,L**** Duarte,510.***.***-**,s*****@example.com,5068,1970-11-14
2763,B****** Pastor,294.***.***-**,a*******@example.com,3034,1970-06-06
2768,E*** Rodrigues,435.***.***-**,d******@example.org,3379,1970-03-01
